1
23.61,19.07,23.61,14.44
23.61,14.44,20.19,14.44
20.19,14.44,20.19,19.07
20.19,19.07,22.58,19.07
22.58,19.07,23.51,19.07,d
23.51,19.07,23.61,19.07
23.71,19.07,23.81,19.07
23.81,19.07,24.74,19.07,d
24.74,19.07,26.91,19.07
26.91,19.07,26.91,14.44
26.91,14.44,23.71,14.44
23.71,14.44,23.71,19.07
27.01,19.07,30.08,19.07
30.08,19.07,31.01,19.07,d
31.01,19.07,31.11,19.07
31.11,19.07,31.11,14.44
31.11,14.44,27.01,14.44
27.01,14.44,27.01,19.07
31.21,19.07,31.31,19.07
31.31,19.07,32.24,19.07,d
32.24,19.07,34.41,19.07
34.41,19.07,34.41,14.44
34.41,14.44,31.21,14.44
31.21,14.44,31.21,19.07
34.51,19.07,36.98,19.07
36.98,19.07,37.91,19.07,d
37.91,19.07,38.01,19.07
38.01,19.07,38.01,14.44
38.01,14.44,34.51,14.44
34.51,14.44,34.51,19.07
38.11,19.07,38.21,19.07
38.21,19.07,39.14,19.07,d
39.14,19.07,41.01,19.07
41.01,19.07,41.01,14.44
41.01,14.44,38.11,14.44
38.11,14.44,38.11,19.07
41.11,19.17,43.9,19.17,d
43.9,19.17,43.9,14.44
43.9,14.44,41.11,14.44
41.11,14.44,41.11,19.17
40.51,26.19,43.9,26.19
43.9,26.19,43.9,20.92
43.9,20.92,41.54,20.92
41.54,20.92,40.61,20.92,d
40.61,20.92,40.51,20.92
40.51,20.92,40.51,26.19
37.21,26.19,40.41,26.19
40.41,26.19,40.41,20.92
40.41,20.92,40.31,20.92
40.31,20.92,39.38,20.92,d
39.38,20.92,37.21,20.92
37.21,20.92,37.21,26.19
37.11,26.19,37.11,20.92
37.11,20.92,34.04,20.92
34.04,20.92,33.11,20.92,d
33.11,20.92,33.01,20.92
33.01,20.92,33.01,26.19
33.01,26.19,37.11,26.19
32.91,26.19,32.91,20.92
32.91,20.92,32.81,20.92
32.81,20.92,31.88,20.92,d
31.88,20.92,29.71,20.92
29.71,20.92,29.71,26.19
29.71,26.19,32.91,26.19
29.61,26.19,29.61,20.82
29.61,20.82,26.71,20.82,d
26.71,20.82,26.71,26.19
26.71,26.19,29.61,26.19
23.21,26.2,26.61,26.19
26.61,26.19,26.61,20.92
26.61,20.92,24.19,20.92
24.19,20.92,23.26,20.92,d
23.26,20.92,23.21,20.92
23.21,20.92,23.21,26.2
20.23,26.19,23.01,26.19
23.01,26.19,23.01,20.92
23.01,20.92,22.96,20.92
22.96,20.92,22.03,20.92,d
22.03,20.92,20.23,20.92
20.23,20.92,20.23,26.19
51.39,22.66,53.4,22.66
53.4,22.66,53.4,21
53.4,21,52.34,21
52.34,21,51.51,21,d
51.51,21,51.39,21
51.39,21,51.39,22.66
48.81,19.07,48.81,16.6
48.81,16.6,48.81,15.67,d
48.81,15.67,48.81,15.57
48.81,15.57,44.23,15.57
44.23,15.57,44.23,19.07
44.23,19.07,48.81,19.07
48.81,15.47,48.81,12.82
48.81,12.82,48.81,11.89,d
48.81,11.89,48.81,9.17
48.81,9.17,44.23,9.17
44.23,9.17,44.23,15.47
44.23,15.47,48.81,15.47
51.31,12.38,55.94,12.38
55.94,12.38,55.94,8.44
55.94,8.44,51.63,8.44
51.63,8.44,51.63,9.31
51.63,9.31,51.31,9.31
51.31,9.31,51.31,11.35
51.31,11.35,51.31,12.28,d
51.31,12.28,51.31,12.38
59.01,19.07,59.01,14.44
59.01,14.44,56.19,14.44
56.19,14.44,56.19,19.07
56.19,19.07,57.98,19.07
57.98,19.07,58.91,19.07,d
58.91,19.07,59.01,19.07
62.61,19.07,62.61,14.44
62.61,14.44,59.11,14.44
59.11,14.44,59.11,19.07
59.11,19.07,59.21,19.07
59.21,19.07,60.14,19.07,d
60.14,19.07,62.61,19.07
65.61,19.17,65.61,14.44
65.61,14.44,62.71,14.44
62.71,14.44,62.71,19.17
62.71,19.17,65.61,19.17,d
70.41,19.07,70.41,14.44
70.41,14.44,65.71,14.44
65.71,14.44,65.71,19.07
65.71,19.07,69.38,19.07
69.38,19.07,70.31,19.07,d
70.31,19.07,70.41,19.07
70.51,19.07,70.61,19.07
70.61,19.07,71.54,19.07,d
71.54,19.07,73.94,19.07
73.94,19.07,73.94,14.44
73.94,14.44,70.51,14.44
70.51,14.44,70.51,19.07
55.94,56.15,55.94,52.77
55.94,52.77,52.39,52.77
52.39,52.77,51.46,52.77,d
51.46,52.77,51.31,52.77
51.31,52.77,51.31,56.15
51.31,56.15,55.94,56.15
47.71,56.15,47.71,53.05
47.71,53.05,48.81,53.05
48.81,53.05,48.81,52.3
48.81,52.3,48.81,51.37,d
48.81,51.37,48.81,51.27
48.81,51.27,44.19,51.27
44.19,51.27,44.19,56.15
44.19,56.15,47.71,56.15
48.81,51.17,48.81,47.8
48.81,47.8,48.81,46.87,d
48.81,46.87,48.81,46.77
48.81,46.77,44.19,46.77
44.19,46.77,44.19,51.17
44.19,51.17,48.81,51.17
48.81,46.67,48.81,46.57
48.81,46.57,48.81,45.64,d
48.81,45.64,48.81,43.47
48.81,43.47,45.22,43.47
45.22,43.47,45.22,43.37
45.22,43.37,44.29,43.37,d
44.29,43.37,44.29,43.47
44.29,43.47,44.19,43.47
44.19,43.47,44.19,46.67
44.19,46.67,48.81,46.67
48.81,43.37,48.81,38.5
48.81,38.5,48.81,37.57,d
48.81,37.57,48.81,37.47
48.81,37.47,44.19,37.47
44.19,37.47,44.19,43.37
44.19,43.37,44.29,43.37
45.22,43.37,48.81,43.37
48.81,37.37,48.81,37.27
48.81,37.27,48.81,36.34,d
48.81,36.34,48.81,33.27
48.81,33.27,44.19,33.27
44.19,33.27,44.19,37.37
44.19,37.37,48.81,37.37
44.19,29.97,44.19,33.17
44.19,33.17,48.81,33.17
48.81,33.17,48.81,31
48.81,31,48.81,30.07,d
48.81,30.07,48.81,29.97
48.81,29.97,44.19,29.97
48.81,29.87,48.81,29.77
48.81,29.77,48.81,28.84,d
48.81,28.84,48.81,26.42
48.81,26.42,44.19,26.42
44.19,26.42,44.19,29.87
44.19,29.87,48.81,29.87
48.81,26.22,48.81,22.52
48.81,22.52,48.81,21.02,d
48.81,21.02,48.81,20.92
48.81,20.92,44.23,20.92
44.23,20.92,44.23,26.22
44.23,26.22,48.81,26.22
51.39,24.7,53.15,24.7
53.15,24.7,53.15,23.78,d
53.15,23.78,53.05,23.78
53.05,23.78,53.05,23.68
53.05,23.68,53.15,23.68
53.15,23.68,53.15,22.76,d
53.15,22.76,51.39,22.76
51.39,22.76,51.39,23.63
51.39,23.63,51.39,24.52,d
51.39,24.52,51.39,24.7
51.35,26.59,54.78,26.59
54.78,26.59,54.78,24.83
54.78,24.83,54.18,24.83
54.18,24.83,54.18,23.78
54.18,23.78,53.15,23.78
53.15,24.7,53.15,24.8
53.15,24.8,51.38,24.8
51.38,24.8,51.35,24.8
